No,no transaksi,Tanggal/Bulan/Tahun,ID Supplier,Nama Supplier,ID Kategori,Kategori,Quantity Barang Supplier /Pcs,Quantity Barang blibli.com /Pcs,,Stock Tersisa
91,A053,08-Jul-19,IS007,PT. Idmarco Perkasa Indonesia,IK04,Cooking Ingredients,738,736,738,-2
92,A053,08-Jul-19,IS003,PT. Teman Sejahtera,IK03,Gadget,915,915,915,0
93,A053,08-Jul-19,IS008,"	PASAR HP",IK03,Gadget,215,215,215,0
94,A054,15-Jul-19,IS017,PT. Samsung Electronics Indonesia,IK02,Electronics,1,1,1,0
95,A054,15-Jul-19,IS017,PT. Samsung Electronics Indonesia,IK02,Electronics,30,30,30,0
96,A055,16-Jul-19,IS008,"	PASAR HP",IK03,Gadget,75,75,75,0
97,A055,16-Jul-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,2000,2000,2000,0
98,A055,16-Jul-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1799,1800,-1
99,A055,16-Jul-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,9552,9021,9552,-531
100,A055,16-Jul-19,IS008,"	PASAR HP",IK03,Gadget,75,75,75,0
101,A055,16-Jul-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,2000,2000,2000,0
102,A056,19-Jul-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,1600,1600,1600,0
103,A056,19-Jul-19,IS007,PT. Idmarco Perkasa Indonesia,IK04,Cooking Ingredients,2468,2440,2468,-28
104,A057,20-Jul-19,IS003,PT. Teman Sejahtera,IK03,Gadget,2525,2434,2525,-91
105,A057,20-Jul-19,IS002,Office Partner Solution FBB,IK02,Electronics,17,17,17,0
106,A058,23-Jul-19,IS019,PT. Bina San Prima,IK08,Kids & Baby,548,296,548,-252
107,A059,24-Jul-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,3800,3740,3800,-60
108,A059,24-Jul-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,8424,4812,8424,-3612
109,A059,24-Jul-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,7548,6719,7548,-829
110,A060,29-Jul-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
111,A061,31-Jul-19,IS002,Office Partner Solution FBB,IK02,Electronics,2,2,2,0
112,A061,31-Jul-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,10764,8496,10764,-2268
113,A062,01-Aug-19,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,1375,1304,1375,-71
114,A062,01-Aug-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,5150,5150,5150,0
115,A063,02-Aug-19,IS007,PT. Idmarco Perkasa Indonesia,IK04,Cooking Ingredients,876,875,876,-1
116,A064,03-Aug-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,8222,191,8222,-8031
117,A064,03-Aug-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,1,1,1,0
118,A065,06-Aug-19,IS007,PT. Idmarco Perkasa Indonesia,IK04,Cooking Ingredients,1748,1400,1748,-348
119,A065,06-Aug-19,IS002,Office Partner Solution FBB,IK02,Electronics,70,70,70,0
120,A066,08-Aug-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,10,10,10,0
121,A066,08-Aug-19,IS003,PT. Teman Sejahtera,IK03,Gadget,825,825,825,0
122,A067,10-Aug-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,12984,10860,12984,-2124
123,A068,12-Aug-19,IS002,Office Partner Solution FBB,IK02,Electronics,12,12,12,0
124,A069,13-Aug-19,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK05,Food,600,600,600,0
125,A070,14-Aug-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,10860,9810,10860,-1050
126,A071,16-Aug-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,6600,6600,6600,0
127,A072,19-Aug-19,IS007,PT. Idmarco Perkasa Indonesia,IK05,Food,3072,1194,3072,-1878
128,A072,19-Aug-19,IS004,Hock Official Store,IK02,Electronics,6,6,6,0
129,A073,20-Aug-19,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,4550,740,4550,-3810
130,A073,20-Aug-19,IS012,Svarna Dipa,IK02,Electronics,50,50,50,0
131,A073,20-Aug-19,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK09,Accessories,20,20,20,0
132,A074,21-Aug-19,IS003,PT. Teman Sejahtera,IK03,Gadget,575,539,575,-36
133,A074,21-Aug-19,IS011,Hanabi cell,IK03,Gadget,748,748,748,0
134,A075,22-Aug-19,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,2600,2431,2600,-169
135,A076,23-Aug-19,IS021,PT GONUSA PRIMA DISTRIBUSI - MEDAN,IK09,Accessories,180,180,180,0
136,A076,23-Aug-19,IS022,PT Bukit Muria Jaya,IK07,Cigarette,2000,2000,2000,0
137,A077,24-Aug-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,4896,4212,4896,-684
138,A078,26-Aug-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,6000,5982,6000,-18
139,A079,30-Aug-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
140,A080,31-Aug-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,6000,5994,6000,-6
141,A080,31-Aug-19,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,1800,244,1800,-1556
142,A081,06-Sep-19,IS012,Svarna Dipa,IK02,Electronics,395,179,395,-216
143,A082,11-Sep-19,IS002,Office Partner Solution FBB,IK02,Electronics,28,28,28,0
144,A083,13-Sep-19,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,2169,126,2169,-2043
145,A084,19-Sep-19,IS023,CV SUBUR JAYA MEDAN,IK04,Cooking Ingredients,235,230,235,-5
146,A085,26-Sep-19,IS002,Office Partner Solution FBB,IK02,Electronics,14,14,14,0
147,A085,26-Sep-19,IS002,Office Partner Solution FBB,IK02,Electronics,10,10,10,0
148,A086,27-Sep-19,IS012,Svarna Dipa,IK02,Electronics,273,96,273,-177
149,A087,28-Sep-19,IS024,PT. Frisian Flag Indonesia,IK05,Food,876,324,876,-552
150,A088,02-Oct-19,IS002,Office Partner Solution FBB,IK02,Electronics,28,28,28,0
151,A089,03-Oct-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,4608,2871,4608,-1737
152,A090,04-Oct-19,IS003,PT. Teman Sejahtera,IK03,Gadget,1525,1525,1525,0
153,A091,07-Oct-19,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,1204,290,1204,-914
154,A092,08-Oct-19,IS011,Hanabi cell,IK03,Gadget,400,300,400,-100
155,A092,08-Oct-19,IS011,Hanabi cell,IK03,Gadget,100,100,100,0
156,A093,09-Oct-19,IS022,PT Bukit Muria Jaya,IK07,Cigarette,15000,15000,15000,0
157,A093,09-Oct-19,IS023,CV SUBUR JAYA MEDAN,IK07,Cigarette,530,490,530,-40
158,A094,11-Oct-19,IS023,CV SUBUR JAYA MEDAN,IK01,Health & Beauty,439,416,439,-23
159,A095,12-Oct-19,IS024,PT. Frisian Flag Indonesia,IK05,Food,948,876,948,-72
160,A096,14-Oct-19,IS023,CV SUBUR JAYA MEDAN,IK07,Cigarette,20,20,20,0
161,A096,14-Oct-19,IS012,Svarna Dipa,IK02,Electronics,2,2,2,0
162,A097,17-Oct-19,IS023,CV SUBUR JAYA MEDAN,IK01,Health & Beauty,19,19,19,0
163,A098,18-Oct-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,375,375,375,0
164,A099,21-Oct-19,IS003,PT. Teman Sejahtera,IK03,Gadget,950,900,950,-50
165,A100,25-Oct-19,IS007,PT. Idmarco Perkasa Indonesia,IK05,Food,1860,1188,1860,-672
166,A100,25-Oct-19,IS007,PT. Idmarco Perkasa Indonesia,IK05,Food,1800,1128,1800,-672
167,A100,25-Oct-19,IS002,Office Partner Solution FBB,IK02,Electronics,22,22,22,0
168,A101,28-Oct-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
169,A102,30-Oct-19,IS025,PT ANUGRAH BERKAT ANDA,IK04,Cooking Ingredients,2040,2040,2040,0
170,A102,30-Oct-19,IS003,PT. Teman Sejahtera,IK03,Gadget,1275,1275,1275,0
171,A103,31-Oct-19,IS002,Office Partner Solution FBB,IK02,Electronics,18,18,18,0
172,A104,01-Nov-19,IS012,Svarna Dipa,IK02,Electronics,86,78,86,-8
173,A105,05-Nov-19,IS002,Office Partner Solution FBB,IK02,Electronics,98,98,98,0
174,A106,07-Nov-19,IS023,CV SUBUR JAYA MEDAN,IK04,Cooking Ingredients,28,27,28,-1
175,A106,07-Nov-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,370,262,370,-108
176,A107,08-Nov-19,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,678,96,678,-582
177,A107,08-Nov-19,IS026,PT. Wahana Tirtasari,IK04,Cooking Ingredients,1500,750,1500,-750
178,A107,08-Nov-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
179,A108,09-Nov-19,IS011,Hanabi cell,IK03,Gadget,630,630,630,0
180,A109,18-Nov-19,IS003,PT. Teman Sejahtera,IK03,Gadget,300,300,300,0
181,A109,18-Nov-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
182,A110,19-Nov-19,IS002,Office Partner Solution FBB,IK02,Electronics,9,9,9,0
183,A111,20-Nov-19,IS026,PT. Wahana Tirtasari,IK04,Cooking Ingredients,180,180,180,0
184,A111,20-Nov-19,IS008,"	PASAR HP",IK03,Gadget,50,50,50,0
185,A111,20-Nov-19,IS008,"	PASAR HP",IK03,Gadget,350,350,350,0
186,A112,21-Nov-19,IS002,Office Partner Solution FBB,IK02,Electronics,20,20,20,0
187,A112,21-Nov-19,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,296,296,296,0
188,A113,23-Nov-19,IS027,CV. Harapan Makmur,IK04,Cooking Ingredients,300,300,300,0
189,A114,26-Nov-19,IS003,PT. Teman Sejahtera,IK03,Gadget,2300,2300,2300,0
190,A115,27-Nov-19,IS002,Office Partner Solution FBB,IK02,Electronics,11,11,11,0
191,A116,28-Nov-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,6338,5788,6338,-550
192,A117,02-Dec-19,IS028,PT. Guna Layan Kuasa,IK04,Cooking Ingredients,1513,1008,1513,-505
193,A118,03-Dec-19,IS003,PT. Teman Sejahtera,IK03,Gadget,1800,1716,1800,-84
194,A119,04-Dec-19,IS023,CV SUBUR JAYA MEDAN,IK07,Cigarette,6,6,6,0
195,A119,04-Dec-19,IS002,Office Partner Solution FBB,IK02,Electronics,10,10,10,0
196,A119,04-Dec-19,IS008,"	PASAR HP",IK03,Gadget,379,370,379,-9
197,A120,05-Dec-19,IS011,Hanabi cell,IK03,Gadget,233,233,233,0
198,A120,05-Dec-19,IS002,Office Partner Solution FBB,IK02,Electronics,2,2,2,0
199,A121,06-Dec-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
200,A121,06-Dec-19,IS027,CV. Harapan Makmur,IK04,Cooking Ingredients,3700,3696,3700,-4
201,A121,06-Dec-19,IS027,CV. Harapan Makmur,IK04,Cooking Ingredients,170,170,170,0
202,A122,07-Dec-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1500,1500,1500,0
203,A123,09-Dec-19,IS029,Tempo Scan Pacific,IK08,Kids & Baby,298,205,298,-93
204,A123,09-Dec-19,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,718,440,718,-278
205,A124,11-Dec-19,IS014,PT. Kurnia Aneka Gemilang,IK05,Food,100,100,100,0
206,A124,11-Dec-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
207,A124,11-Dec-19,IS026,PT. Wahana Tirtasari,IK04,Cooking Ingredients,252,252,252,0
208,A124,11-Dec-19,IS002,Office Partner Solution FBB,IK02,Electronics,2,2,2,0
209,A124,11-Dec-19,IS002,Office Partner Solution FBB,IK02,Electronics,33,33,33,0
210,A125,12-Dec-19,IS001," 	Unilever Indonesia",IK09,Accessories,120,120,120,0
211,A126,13-Dec-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
212,A126,13-Dec-19,IS030,PT Tirta Investama,IK05,Food,140,140,140,0
213,A126,13-Dec-19,IS031,PT. USDAMA DAMAI SEJAHTERA,IK04,Cooking Ingredients,350,350,350,0
214,A127,14-Dec-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
215,A128,17-Dec-19,IS024,PT. Frisian Flag Indonesia,IK08,Kids & Baby,934,862,934,-72
216,A128,17-Dec-19,IS002,Office Partner Solution FBB,IK02,Electronics,12,12,12,0
217,A129,18-Dec-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
218,A130,19-Dec-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,240,240,240,0
219,A131,21-Dec-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
220,A131,21-Dec-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,110,110,110,0
221,A132,23-Dec-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
222,A132,23-Dec-19,IS032,PT Sayap Mas Utama,IK04,Cooking Ingredients,546,536,546,-10
223,A133,26-Dec-19,IS003,PT. Teman Sejahtera,IK03,Gadget,2156,1566,2156,-590
224,A134,30-Dec-19,IS002,Office Partner Solution FBB,IK02,Electronics,14,14,14,0
225,A135,31-Dec-19,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,1700,1676,1700,-24
226,A136,01-Jan-20,IS002,Office Partner Solution FBB,IK02,Electronics,28,28,28,0
227,A137,07-Jan-20,IS002,Office Partner Solution FBB,IK02,Electronics,5,5,5,0
228,A138,08-Jan-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
229,A139,09-Jan-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1500,1499,1500,-1
230,A139,09-Jan-20,IS008,"	PASAR HP",IK03,Gadget,500,500,500,0
231,A139,09-Jan-20,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,598,384,598,-214
232,A140,11-Jan-20,IS029,Tempo Scan Pacific,IK08,Kids & Baby,24,24,24,0
233,A141,13-Jan-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK05,Food,24,24,24,0
234,A141,13-Jan-20,IS026,PT. Wahana Tirtasari,IK04,Cooking Ingredients,250,250,250,0
235,A141,13-Jan-20,IS027,CV. Harapan Makmur,IK04,Cooking Ingredients,2200,2198,2200,-2
236,A142,14-Jan-20,IS032,PT Sayap Mas Utama,IK01,Health & Beauty,2880,2880,2880,0
237,A143,15-Jan-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,350,350,350,0
238,A143,15-Jan-20,IS011,Hanabi cell,IK03,Gadget,400,400,400,0
239,A144,16-Jan-20,IS019,PT Bina San Prima Cabang Medan,IK08,Kids & Baby,702,702,702,0
240,A145,18-Jan-20,IS029,Tempo Scan Pacific,IK08,Kids & Baby,138,138,138,0
241,A146,20-Jan-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1900,1900,1900,0
242,A146,20-Jan-20,IS002,Office Partner Solution FBB,IK02,Electronics,34,34,34,0
243,A146,20-Jan-20,IS026,PT. Wahana Tirtasari,IK04,Cooking Ingredients,690,690,690,0
244,A147,23-Jan-20,IS011,Hanabi cell,IK03,Gadget,150,150,150,0
245,A148,24-Jan-20,IS033,PT. Sari Agrotama Persada,IK04,Cooking Ingredients,3420,3420,3420,0
246,A149,30-Jan-20,IS027,CV. Harapan Makmur,IK04,Cooking Ingredients,500,498,500,-2
247,A150,01-Feb-20,IS012,Svarna Dipa,IK02,Electronics,228,182,228,-46
248,A151,02-Feb-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1624,976,1624,-648
249,A152,07-Feb-20,IS002,Office Partner Solution FBB,IK02,Electronics,14,14,14,0
250,A153,13-Feb-20,IS003,PT. Teman Sejahtera,IK03,Gadget,400,400,400,0
251,A154,14-Feb-20,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,474,474,474,0
252,A155,19-Feb-20,IS017,PT. Samsung Electronics Indonesia,IK02,Electronics,1,1,1,0
253,A156,24-Feb-20,IS012,Svarna Dipa,IK02,Electronics,40,0,40,-40
254,A157,25-Feb-20,IS002,Office Partner Solution FBB,IK02,Electronics,23,23,23,0
255,A158,26-Feb-20,IS017,PT. Samsung Electronics Indonesia,IK02,Electronics,1,1,1,0
256,A159,29-Feb-20,IS003,PT. Teman Sejahtera,IK03,Gadget,500,500,500,0
257,A160,11-Mar-20,IS003,PT. Teman Sejahtera,IK03,Gadget,930,550,930,-380
258,A161,12-Mar-20,IS002,Office Partner Solution FBB,IK02,Electronics,4,4,4,0
259,A162,18-Mar-20,IS034,MENSTRUHERO,IK01,Health & Beauty,100,30,100,-70
260,A163,23-Mar-20,IS031,PT. USDAMA DAMAI SEJAHTERA,IK04,Cooking Ingredients,175,0,175,-175
261,A164,28-Mar-20,IS003,PT. Teman Sejahtera,IK03,Gadget,900,850,900,-50
262,A165,06-Apr-20,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1800,1800,1800,0
263,A166,07-Apr-20,IS018,PT. SUMBER CIPTA MULTINIAGA - MEDAN,IK07,Cigarette,32,32,32,0
264,A167,09-Apr-20,IS003,PT. Teman Sejahtera,IK03,Gadget,1296,1204,1296,-92
265,A168,13-Apr-20,IS031,PT. USDAMA DAMAI SEJAHTERA,IK04,Cooking Ingredients,230,140,230,-90
266,A169,19-Apr-20,IS003,PT. Teman Sejahtera,IK03,Gadget,900,800,900,-100
267,A170,22-Apr-20,IS020,PT.Tigaraksa Satria Medan,IK08,Kids & Baby,417,236,417,-181
268,A171,24-Apr-20,IS003,PT. Teman Sejahtera,IK03,Gadget,600,600,600,0
